id,ciudad,estado,lat,lon
1,Merida,Yucatan,20.9753704,-89.6169586
1,Veracruz,Veracruz de Ignacio de la Llave,19.5312405,-96.9158936
2,Veracruz,Veracruz de Ignacio de la Llave,19.5312405,-96.9158936
2,Tlaxcala,Tlaxcala,19.3190498,-98.1998215
3,Tlaxcala,Tlaxcala,19.3190498,-98.1998215
3,Puebla de Zaragoza,Puebla,19.0379295,-98.2034607
4,Puebla de Zaragoza,Puebla,19.0379295,-98.2034607
4,Pachuca de Soto,Hidalgo,20.1169701,-98.7332916
5,Pachuca de Soto,Hidalgo,20.1169701,-98.7332916
5,Ciudad de Mexico,Distrito Federal,19.4284706,-99.1276627
6,Ciudad de Mexico,Distrito Federal,19.4284706,-99.1276627
6,Cuernavaca,Morelos,18.9260998,-99.230751
7,Cuernavaca,Morelos,18.9260998,-99.230751
7,Toluca de Lerdo,Mexico,19.2878609,-99.6532364
8,Toluca de Lerdo,Mexico,19.2878609,-99.6532364
8,Morelia,Michoacan de Ocampo,19.7007809,-101.184433
9,Morelia,Michoacan de Ocampo,19.7007809,-101.184433
9,Leon,Guanajuato,21.1290798,-101.6737366
10,Leon,Guanajuato,21.1290798,-101.6737366
10,San Luis Potosi,San Luis Potosi,22.1498203,-100.9791565
11,San Luis Potosi,San Luis Potosi,22.1498203,-100.9791565
11,Zacatecas,Zacatecas,22.7684307,-102.5814133
12,Zacatecas,Zacatecas,22.7684307,-102.5814133
12,Aguascalientes,Aguascalientes,21.8823395,-102.2825928
13,Aguascalientes,Aguascalientes,21.8823395,-102.2825928
13,Guadalajara,Jalisco,20.6668205,-103.3918228
14,Guadalajara,Jalisco,20.6668205,-103.3918228
14,Colima,Colima,19.2499695,-103.7271423
15,Colima,Colima,19.2499695,-103.7271423
15,Tepic,Nayarit,21.50951,-104.8956909
16,Tepic,Nayarit,21.50951,-104.8956909
16,Chihuahua,Chihuahua,28.6352806,-106.0888901
17,Chihuahua,Chihuahua,28.6352806,-106.0888901
17,Hermosillo,Sonora,29.1026001,-110.9773178
18,Hermosillo,Sonora,29.1026001,-110.9773178
18,Tijuana,Baja California,32.5027008,-117.0037079
19,Tijuana,Baja California,32.5027008,-117.0037079
19,La Paz,Baja California Sur,24.1443691,-110.300499
20,La Paz,Baja California Sur,24.1443691,-110.300499
20,Culiacan,Sinaloa,24.7903194,-107.3878174
21,Culiacan,Sinaloa,24.7903194,-107.3878174
21,Victoria de Durango,Durango,24.0203209,-104.6575623
22,Victoria de Durango,Durango,24.0203209,-104.6575623
22,Saltillo,Coahuila de Zaragoza,25.4232101,-101.0053024
23,Saltillo,Coahuila de Zaragoza,25.4232101,-101.0053024
23,Monterrey,Nuevo Leon,25.6750698,-100.3184662
24,Monterrey,Nuevo Leon,25.6750698,-100.3184662
24,Tampico,Tamaulipas,22.2448406,-97.8351974
25,Tampico,Tamaulipas,22.2448406,-97.8351974
25,Santiago de Queretaro,Queretaro,20.5880604,-100.3880615
26,Santiago de Queretaro,Queretaro,20.5880604,-100.3880615
26,Chilpancingo de los Bravo,Guerrero,17.5506001,-99.5057831
27,Chilpancingo de los Bravo,Guerrero,17.5506001,-99.5057831
27,Oaxaca de Juarez,Oaxaca,17.0654202,-96.7236481
28,Oaxaca de Juarez,Oaxaca,17.0654202,-96.7236481
28,Tuxtla Gutierrez,Chiapas,16.7597294,-93.1130829
29,Tuxtla Gutierrez,Chiapas,16.7597294,-93.1130829
29,Villahermosa,Tabasco,17.9868908,-92.9302826
30,Villahermosa,Tabasco,17.9868908,-92.9302826
30,Campeche,Campeche,19.8438606,-90.5255432
31,Campeche,Campeche,19.8438606,-90.5255432
31,Cancun,Quintana Roo,21.1742897,-86.8465576
32,Cancun,Quintana Roo,21.1742897,-86.8465576
32,Merida,Yucatan,20.9753704,-89.6169586
